iteration,nlayers,nneurons_one,nneurons_two,act_function_one,act_function_two,optimizer,learning_rate,loss_function,nepochs
4,1,32,0,relu,none,adam,0.001,mse,10
5,1,32,0,relu,none,adam,0.001,mse,10
6,1,32,0,relu,none,adam,0.001,mse,10
7,1,32,0,relu,none,adam,0.001,mse,10
8,1,32,0,relu,none,adam,0.001,mse,10
9,1,32,0,relu,none,adam,0.001,mse,10
10,1,32,0,relu,none,adam,0.001,mse,10
11,1,32,0,relu,none,adam,0.001,mse,10
12,1,32,0,relu,none,adam,0.001,mse,10
13,1,32,0,relu,none,adam,0.001,mse,10
14,1,32,0,relu,none,adam,0.001,mse,10
15,1,32,0,relu,none,adam,0.001,mse,10
16,1,32,0,relu,none,adam,0.001,mse,10
17,1,32,0,relu,none,adam,0.001,mse,10
18,1,32,0,relu,none,adam,0.001,mse,10
19,1,32,0,relu,none,adam,0.001,mse,10
20,1,32,0,relu,none,adam,0.001,mse,10
21,1,32,0,relu,none,adam,0.001,mse,10
22,1,32,0,relu,none,adam,0.001,mse,10
23,1,32,0,relu,none,adam,0.001,mse,10
24,1,32,0,relu,none,adam,0.001,mse,10
25,1,32,0,relu,none,adam,0.001,mse,10
26,1,32,0,relu,none,adam,0.001,mse,10
27,1,32,0,relu,none,adam,0.001,mse,10
28,1,32,0,relu,none,adam,0.001,mse,10
29,1,32,0,relu,none,adam,0.001,mse,10
30,1,32,0,relu,none,adam,0.001,mse,10
31,1,32,0,relu,none,adam,0.001,mse,10
32,1,32,0,relu,none,adam,0.001,mse,10
33,1,32,0,relu,none,adam,0.001,mse,10
34,1,32,0,relu,none,adam,0.001,mse,10
35,1,32,0,relu,none,adam,0.001,mse,10
36,1,32,0,relu,none,adam,0.001,mse,10
37,1,32,0,relu,none,adam,0.001,mse,10
38,1,32,0,relu,none,adam,0.001,mse,10
39,1,32,0,relu,none,adam,0.001,mse,10
40,1,32,0,relu,none,adam,0.001,mse,10
41,1,32,0,relu,none,adam,0.001,mse,10
42,1,32,0,relu,none,adam,0.001,mse,10
43,1,32,0,relu,none,adam,0.001,mse,10
44,1,32,0,relu,none,adam,0.001,mse,10
45,1,32,0,relu,none,adam,0.001,mse,10
46,1,32,0,relu,none,adam,0.001,mse,10
47,1,32,0,relu,none,adam,0.001,mse,10
48,1,32,0,relu,none,adam,0.001,mse,10
49,1,32,0,relu,none,adam,0.001,mse,10
50,1,32,0,relu,none,adam,0.001,mse,10
1,1,64,0,relu,none,adam,0.001,mse,10
2,1,64,0,relu,none,adam,0.001,mse,10
3,1,64,0,relu,none,adam,0.001,mse,10
4,1,64,0,relu,none,adam,0.001,mse,10
5,1,64,0,relu,none,adam,0.001,mse,10
6,1,64,0,relu,none,adam,0.001,mse,10
7,1,64,0,relu,none,adam,0.001,mse,10
8,1,64,0,relu,none,adam,0.001,mse,10
9,1,64,0,relu,none,adam,0.001,mse,10
10,1,64,0,relu,none,adam,0.001,mse,10
11,1,64,0,relu,none,adam,0.001,mse,10
12,1,64,0,relu,none,adam,0.001,mse,10
13,1,64,0,relu,none,adam,0.001,mse,10
14,1,64,0,relu,none,adam,0.001,mse,10
15,1,64,0,relu,none,adam,0.001,mse,10
16,1,64,0,relu,none,adam,0.001,mse,10
17,1,64,0,relu,none,adam,0.001,mse,10
18,1,64,0,relu,none,adam,0.001,mse,10
19,1,64,0,relu,none,adam,0.001,mse,10
20,1,64,0,relu,none,adam,0.001,mse,10
21,1,64,0,relu,none,adam,0.001,mse,10
22,1,64,0,relu,none,adam,0.001,mse,10
23,1,64,0,relu,none,adam,0.001,mse,10
24,1,64,0,relu,none,adam,0.001,mse,10
25,1,64,0,relu,none,adam,0.001,mse,10
26,1,64,0,relu,none,adam,0.001,mse,10
27,1,64,0,relu,none,adam,0.001,mse,10
28,1,64,0,relu,none,adam,0.001,mse,10
29,1,64,0,relu,none,adam,0.001,mse,10
30,1,64,0,relu,none,adam,0.001,mse,10
31,1,64,0,relu,none,adam,0.001,mse,10
32,1,64,0,relu,none,adam,0.001,mse,10
33,1,64,0,relu,none,adam,0.001,mse,10
34,1,64,0,relu,none,adam,0.001,mse,10
35,1,64,0,relu,none,adam,0.001,mse,10
36,1,64,0,relu,none,adam,0.001,mse,10
37,1,64,0,relu,none,adam,0.001,mse,10
38,1,64,0,relu,none,adam,0.001,mse,10
39,1,64,0,relu,none,adam,0.001,mse,10
40,1,64,0,relu,none,adam,0.001,mse,10
41,1,64,0,relu,none,adam,0.001,mse,10
42,1,64,0,relu,none,adam,0.001,mse,10
43,1,64,0,relu,none,adam,0.001,mse,10
44,1,64,0,relu,none,adam,0.001,mse,10
45,1,64,0,relu,none,adam,0.001,mse,10
46,1,64,0,relu,none,adam,0.001,mse,10
47,1,64,0,relu,none,adam,0.001,mse,10
48,1,64,0,relu,none,adam,0.001,mse,10
49,1,64,0,relu,none,adam,0.001,mse,10
50,1,64,0,relu,none,adam,0.001,mse,10
1,1,16,0,relu,none,adam,0.002,mse,10
2,1,16,0,relu,none,adam,0.002,mse,10
3,1,16,0,relu,none,adam,0.002,mse,10
4,1,16,0,relu,none,adam,0.002,mse,10
5,1,16,0,relu,none,adam,0.002,mse,10
6,1,16,0,relu,none,adam,0.002,mse,10
7,1,16,0,relu,none,adam,0.002,mse,10
8,1,16,0,relu,none,adam,0.002,mse,10
9,1,16,0,relu,none,adam,0.002,mse,10
10,1,16,0,relu,none,adam,0.002,mse,10
11,1,16,0,relu,none,adam,0.002,mse,10
12,1,16,0,relu,none,adam,0.002,mse,10
13,1,16,0,relu,none,adam,0.002,mse,10
14,1,16,0,relu,none,adam,0.002,mse,10
15,1,16,0,relu,none,adam,0.002,mse,10
16,1,16,0,relu,none,adam,0.002,mse,10
17,1,16,0,relu,none,adam,0.002,mse,10
18,1,16,0,relu,none,adam,0.002,mse,10
19,1,16,0,relu,none,adam,0.002,mse,10
20,1,16,0,relu,none,adam,0.002,mse,10
21,1,16,0,relu,none,adam,0.002,mse,10
22,1,16,0,relu,none,adam,0.002,mse,10
23,1,16,0,relu,none,adam,0.002,mse,10
24,1,16,0,relu,none,adam,0.002,mse,10
25,1,16,0,relu,none,adam,0.002,mse,10
26,1,16,0,relu,none,adam,0.002,mse,10
27,1,16,0,relu,none,adam,0.002,mse,10
28,1,16,0,relu,none,adam,0.002,mse,10
29,1,16,0,relu,none,adam,0.002,mse,10
30,1,16,0,relu,none,adam,0.002,mse,10
31,1,16,0,relu,none,adam,0.002,mse,10
32,1,16,0,relu,none,adam,0.002,mse,10
33,1,16,0,relu,none,adam,0.002,mse,10
34,1,16,0,relu,none,adam,0.002,mse,10
35,1,16,0,relu,none,adam,0.002,mse,10
36,1,16,0,relu,none,adam,0.002,mse,10
37,1,16,0,relu,none,adam,0.002,mse,10
38,1,16,0,relu,none,adam,0.002,mse,10
39,1,16,0,relu,none,adam,0.002,mse,10
40,1,16,0,relu,none,adam,0.002,mse,10
41,1,16,0,relu,none,adam,0.002,mse,10
42,1,16,0,relu,none,adam,0.002,mse,10
43,1,16,0,relu,none,adam,0.002,mse,10
44,1,16,0,relu,none,adam,0.002,mse,10
45,1,16,0,relu,none,adam,0.002,mse,10
46,1,16,0,relu,none,adam,0.002,mse,10
47,1,16,0,relu,none,adam,0.002,mse,10
48,1,16,0,relu,none,adam,0.002,mse,10
49,1,16,0,relu,none,adam,0.002,mse,10
50,1,16,0,relu,none,adam,0.002,mse,10
1,1,32,0,relu,none,adam,0.002,mse,10
2,1,32,0,relu,none,adam,0.002,mse,10
3,1,32,0,relu,none,adam,0.002,mse,10
4,1,32,0,relu,none,adam,0.002,mse,10
5,1,32,0,relu,none,adam,0.002,mse,10
6,1,32,0,relu,none,adam,0.002,mse,10
7,1,32,0,relu,none,adam,0.002,mse,10
8,1,32,0,relu,none,adam,0.002,mse,10
9,1,32,0,relu,none,adam,0.002,mse,10
10,1,32,0,relu,none,adam,0.002,mse,10
11,1,32,0,relu,none,adam,0.002,mse,10
12,1,32,0,relu,none,adam,0.002,mse,10
13,1,32,0,relu,none,adam,0.002,mse,10
14,1,32,0,relu,none,adam,0.002,mse,10
15,1,32,0,relu,none,adam,0.002,mse,10
16,1,32,0,relu,none,adam,0.002,mse,10
17,1,32,0,relu,none,adam,0.002,mse,10
18,1,32,0,relu,none,adam,0.002,mse,10
19,1,32,0,relu,none,adam,0.002,mse,10
20,1,32,0,relu,none,adam,0.002,mse,10
21,1,32,0,relu,none,adam,0.002,mse,10
22,1,32,0,relu,none,adam,0.002,mse,10
23,1,32,0,relu,none,adam,0.002,mse,10
24,1,32,0,relu,none,adam,0.002,mse,10
25,1,32,0,relu,none,adam,0.002,mse,10
26,1,32,0,relu,none,adam,0.002,mse,10
27,1,32,0,relu,none,adam,0.002,mse,10
28,1,32,0,relu,none,adam,0.002,mse,10
29,1,32,0,relu,none,adam,0.002,mse,10
30,1,32,0,relu,none,adam,0.002,mse,10
31,1,32,0,relu,none,adam,0.002,mse,10
32,1,32,0,relu,none,adam,0.002,mse,10
33,1,32,0,relu,none,adam,0.002,mse,10
34,1,32,0,relu,none,adam,0.002,mse,10
35,1,32,0,relu,none,adam,0.002,mse,10
36,1,32,0,relu,none,adam,0.002,mse,10
37,1,32,0,relu,none,adam,0.002,mse,10
38,1,32,0,relu,none,adam,0.002,mse,10
39,1,32,0,relu,none,adam,0.002,mse,10
40,1,32,0,relu,none,adam,0.002,mse,10
41,1,32,0,relu,none,adam,0.002,mse,10
42,1,32,0,relu,none,adam,0.002,mse,10
43,1,32,0,relu,none,adam,0.002,mse,10
44,1,32,0,relu,none,adam,0.002,mse,10
45,1,32,0,relu,none,adam,0.002,mse,10
46,1,32,0,relu,none,adam,0.002,mse,10
47,1,32,0,relu,none,adam,0.002,mse,10
48,1,32,0,relu,none,adam,0.002,mse,10
49,1,32,0,relu,none,adam,0.002,mse,10
50,1,32,0,relu,none,adam,0.002,mse,10
1,1,64,0,relu,none,adam,0.002,mse,10
2,1,64,0,relu,none,adam,0.002,mse,10
3,1,64,0,relu,none,adam,0.002,mse,10
4,1,64,0,relu,none,adam,0.002,mse,10
5,1,64,0,relu,none,adam,0.002,mse,10
6,1,64,0,relu,none,adam,0.002,mse,10
7,1,64,0,relu,none,adam,0.002,mse,10
8,1,64,0,relu,none,adam,0.002,mse,10
9,1,64,0,relu,none,adam,0.002,mse,10
10,1,64,0,relu,none,adam,0.002,mse,10
11,1,64,0,relu,none,adam,0.002,mse,10
12,1,64,0,relu,none,adam,0.002,mse,10
13,1,64,0,relu,none,adam,0.002,mse,10
14,1,64,0,relu,none,adam,0.002,mse,10
15,1,64,0,relu,none,adam,0.002,mse,10
16,1,64,0,relu,none,adam,0.002,mse,10
17,1,64,0,relu,none,adam,0.002,mse,10
18,1,64,0,relu,none,adam,0.002,mse,10
19,1,64,0,relu,none,adam,0.002,mse,10
20,1,64,0,relu,none,adam,0.002,mse,10
21,1,64,0,relu,none,adam,0.002,mse,10
22,1,64,0,relu,none,adam,0.002,mse,10
23,1,64,0,relu,none,adam,0.002,mse,10
24,1,64,0,relu,none,adam,0.002,mse,10
25,1,64,0,relu,none,adam,0.002,mse,10
26,1,64,0,relu,none,adam,0.002,mse,10
27,1,64,0,relu,none,adam,0.002,mse,10
28,1,64,0,relu,none,adam,0.002,mse,10
29,1,64,0,relu,none,adam,0.002,mse,10
30,1,64,0,relu,none,adam,0.002,mse,10
31,1,64,0,relu,none,adam,0.002,mse,10
32,1,64,0,relu,none,adam,0.002,mse,10
33,1,64,0,relu,none,adam,0.002,mse,10
34,1,64,0,relu,none,adam,0.002,mse,10
35,1,64,0,relu,none,adam,0.002,mse,10
36,1,64,0,relu,none,adam,0.002,mse,10
37,1,64,0,relu,none,adam,0.002,mse,10
38,1,64,0,relu,none,adam,0.002,mse,10
39,1,64,0,relu,none,adam,0.002,mse,10
40,1,64,0,relu,none,adam,0.002,mse,10
41,1,64,0,relu,none,adam,0.002,mse,10
42,1,64,0,relu,none,adam,0.002,mse,10
43,1,64,0,relu,none,adam,0.002,mse,10
44,1,64,0,relu,none,adam,0.002,mse,10
45,1,64,0,relu,none,adam,0.002,mse,10
46,1,64,0,relu,none,adam,0.002,mse,10
47,1,64,0,relu,none,adam,0.002,mse,10
48,1,64,0,relu,none,adam,0.002,mse,10
49,1,64,0,relu,none,adam,0.002,mse,10
50,1,64,0,relu,none,adam,0.002,mse,10
1,1,16,0,relu,none,adam,0.005,mse,10
2,1,16,0,relu,none,adam,0.005,mse,10
3,1,16,0,relu,none,adam,0.005,mse,10
4,1,16,0,relu,none,adam,0.005,mse,10
5,1,16,0,relu,none,adam,0.005,mse,10
6,1,16,0,relu,none,adam,0.005,mse,10
7,1,16,0,relu,none,adam,0.005,mse,10
8,1,16,0,relu,none,adam,0.005,mse,10
9,1,16,0,relu,none,adam,0.005,mse,10
10,1,16,0,relu,none,adam,0.005,mse,10
11,1,16,0,relu,none,adam,0.005,mse,10
12,1,16,0,relu,none,adam,0.005,mse,10
13,1,16,0,relu,none,adam,0.005,mse,10
14,1,16,0,relu,none,adam,0.005,mse,10
15,1,16,0,relu,none,adam,0.005,mse,10
16,1,16,0,relu,none,adam,0.005,mse,10
17,1,16,0,relu,none,adam,0.005,mse,10
18,1,16,0,relu,none,adam,0.005,mse,10
19,1,16,0,relu,none,adam,0.005,mse,10
20,1,16,0,relu,none,adam,0.005,mse,10
21,1,16,0,relu,none,adam,0.005,mse,10
22,1,16,0,relu,none,adam,0.005,mse,10
23,1,16,0,relu,none,adam,0.005,mse,10
24,1,16,0,relu,none,adam,0.005,mse,10
25,1,16,0,relu,none,adam,0.005,mse,10
26,1,16,0,relu,none,adam,0.005,mse,10
27,1,16,0,relu,none,adam,0.005,mse,10
28,1,16,0,relu,none,adam,0.005,mse,10
29,1,16,0,relu,none,adam,0.005,mse,10
30,1,16,0,relu,none,adam,0.005,mse,10
31,1,16,0,relu,none,adam,0.005,mse,10
32,1,16,0,relu,none,adam,0.005,mse,10
33,1,16,0,relu,none,adam,0.005,mse,10
34,1,16,0,relu,none,adam,0.005,mse,10
35,1,16,0,relu,none,adam,0.005,mse,10
36,1,16,0,relu,none,adam,0.005,mse,10
37,1,16,0,relu,none,adam,0.005,mse,10
38,1,16,0,relu,none,adam,0.005,mse,10
39,1,16,0,relu,none,adam,0.005,mse,10
40,1,16,0,relu,none,adam,0.005,mse,10
41,1,16,0,relu,none,adam,0.005,mse,10
42,1,16,0,relu,none,adam,0.005,mse,10
43,1,16,0,relu,none,adam,0.005,mse,10
44,1,16,0,relu,none,adam,0.005,mse,10
45,1,16,0,relu,none,adam,0.005,mse,10
46,1,16,0,relu,none,adam,0.005,mse,10
47,1,16,0,relu,none,adam,0.005,mse,10
48,1,16,0,relu,none,adam,0.005,mse,10
49,1,16,0,relu,none,adam,0.005,mse,10
50,1,16,0,relu,none,adam,0.005,mse,10
1,1,32,0,relu,none,adam,0.005,mse,10
2,1,32,0,relu,none,adam,0.005,mse,10
3,1,32,0,relu,none,adam,0.005,mse,10
4,1,32,0,relu,none,adam,0.005,mse,10
5,1,32,0,relu,none,adam,0.005,mse,10
6,1,32,0,relu,none,adam,0.005,mse,10
7,1,32,0,relu,none,adam,0.005,mse,10
8,1,32,0,relu,none,adam,0.005,mse,10
9,1,32,0,relu,none,adam,0.005,mse,10
10,1,32,0,relu,none,adam,0.005,mse,10
11,1,32,0,relu,none,adam,0.005,mse,10
12,1,32,0,relu,none,adam,0.005,mse,10
13,1,32,0,relu,none,adam,0.005,mse,10
14,1,32,0,relu,none,adam,0.005,mse,10
15,1,32,0,relu,none,adam,0.005,mse,10
16,1,32,0,relu,none,adam,0.005,mse,10
17,1,32,0,relu,none,adam,0.005,mse,10
18,1,32,0,relu,none,adam,0.005,mse,10
19,1,32,0,relu,none,adam,0.005,mse,10
20,1,32,0,relu,none,adam,0.005,mse,10
21,1,32,0,relu,none,adam,0.005,mse,10
22,1,32,0,relu,none,adam,0.005,mse,10
23,1,32,0,relu,none,adam,0.005,mse,10
24,1,32,0,relu,none,adam,0.005,mse,10
25,1,32,0,relu,none,adam,0.005,mse,10
26,1,32,0,relu,none,adam,0.005,mse,10
27,1,32,0,relu,none,adam,0.005,mse,10
28,1,32,0,relu,none,adam,0.005,mse,10
29,1,32,0,relu,none,adam,0.005,mse,10
30,1,32,0,relu,none,adam,0.005,mse,10
31,1,32,0,relu,none,adam,0.005,mse,10
32,1,32,0,relu,none,adam,0.005,mse,10
33,1,32,0,relu,none,adam,0.005,mse,10
34,1,32,0,relu,none,adam,0.005,mse,10
35,1,32,0,relu,none,adam,0.005,mse,10
36,1,32,0,relu,none,adam,0.005,mse,10
37,1,32,0,relu,none,adam,0.005,mse,10
38,1,32,0,relu,none,adam,0.005,mse,10
39,1,32,0,relu,none,adam,0.005,mse,10
40,1,32,0,relu,none,adam,0.005,mse,10
41,1,32,0,relu,none,adam,0.005,mse,10
42,1,32,0,relu,none,adam,0.005,mse,10
43,1,32,0,relu,none,adam,0.005,mse,10
44,1,32,0,relu,none,adam,0.005,mse,10
45,1,32,0,relu,none,adam,0.005,mse,10
46,1,32,0,relu,none,adam,0.005,mse,10
47,1,32,0,relu,none,adam,0.005,mse,10
48,1,32,0,relu,none,adam,0.005,mse,10
49,1,32,0,relu,none,adam,0.005,mse,10
